feature_id	mz	rtime
Cluster_0396	355.0979035	4.946651953
Cluster_0397	357.3841431	11.88849927
Cluster_0398	357.3849991	9.550186323
Cluster_0399	364.2674116	2.755138212
Cluster_0400	365.1221887	5.061022999
Cluster_0401	366.3741941	13.12350674
Cluster_0402	369.3837898	11.75859443
Cluster_0403	370.1488716	1.47066954
Cluster_0404	371.074034	6.105542918
Cluster_0405	371.3165021	10.86590702
Cluster_0406	371.3151678	22.82398358
Cluster_0407	371.3126786	23.29282467
Cluster_0408	372.254429	4.054946693
Cluster_0409	376.2605302	1.692874001
Cluster_0410	377.2124332	7.46714922
Cluster_0411	381.2617064	2.04131744
Cluster_0412	382.0180749	4.028663414
Cluster_0413	382.3878117	11.75301364
Cluster_0414	383.3959476	12.1240311
Cluster_0415	384.1604723	3.729499303
Cluster_0416	385.4166658	11.88805286
Cluster_0417	388.3431107	10.86589931
Cluster_0418	388.3427485	11.06820064
Cluster_0419	391.2854277	9.500587158
Cluster_0420	391.2849118	10.59255807
Cluster_0421	391.2845982	10.90658325
Cluster_0422	393.2072007	8.182518702
Cluster_0423	393.2869095	1.693798888
Cluster_0424	393.2984619	10.86652188
Cluster_0425	396.4207065	16.32847354
Cluster_0426	397.404744	12.90274409
Cluster_0427	397.4150346	13.77564042
Cluster_0428	397.4164291	11.75935702
Cluster_0429	398.1796621	3.25506353
Cluster_0430	403.342678	9.924491986
Cluster_0431	406.253395	8.543783862
Cluster_0432	408.246099	1.580927443
Cluster_0433	408.3118605	3.038853061
Cluster_0434	408.3125293	10.58925587
Cluster_0435	408.3305216	6.246083469
Cluster_0436	409.1828529	9.051379536
Cluster_0437	409.184315	9.51902335
Cluster_0438	409.1842986	9.904900845
Cluster_0439	409.2721885	10.86558835
Cluster_0440	410.1872686	9.62444315
Cluster_0441	410.2385405	9.715645414
Cluster_0442	410.411109	13.77558611
Cluster_0443	413.2676077	10.59355661
Cluster_0444	413.3999101	13.61986566
Cluster_0445	414.4312063	12.90273246
Cluster_0446	415.2126714	1.802952796
Cluster_0447	415.4058281	13.61453316
Cluster_0448	416.1322099	6.109752376
Cluster_0449	416.3730381	10.86722616
Cluster_0450	419.2768565	5.039822986
Cluster_0451	419.3147299	10.96219117
Cluster_0452	419.3187589	11.04615437
Cluster_0453	419.3184318	11.21269207
Cluster_0454	419.3169226	11.42930111
Cluster_0455	419.3169696	11.71242307
Cluster_0456	419.3166169	11.87935966
Cluster_0457	419.3169965	12.03886295
Cluster_0458	419.3166864	12.18034709
Cluster_0459	419.3159835	12.36107248
Cluster_0460	419.3159333	12.53303979
Cluster_0461	419.3161244	12.69595538
Cluster_0462	419.3196603	12.86558163
Cluster_0463	419.3164305	13.02222616
Cluster_0464	419.3169958	13.16635338
Cluster_0465	419.3149987	13.36118778
Cluster_0466	419.3195853	13.42514572
Cluster_0467	419.3163496	13.5440973
Cluster_0468	419.3174725	13.62879234
Cluster_0469	419.31658	13.90811555
Cluster_0470	419.3155138	14.1765318
Cluster_0471	419.314833	14.26970384
Cluster_0472	419.3167501	14.68263242
Cluster_0473	419.3166231	14.79728746
Cluster_0474	419.317926	15.00796186
Cluster_0475	419.3159233	15.32811651
Cluster_0476	419.3181554	15.72000739
Cluster_0477	419.3167518	15.87800515
Cluster_0478	419.3180215	16.06911293
Cluster_0479	419.3157689	16.24922901
Cluster_0480	419.3167274	16.56443411
Cluster_0481	419.3158871	16.68999935
Cluster_0482	419.3158581	16.78610139
Cluster_0483	419.315219	16.95495385
Cluster_0484	419.3167779	17.03362687
Cluster_0485	419.3167149	17.17302819
Cluster_0486	419.3176602	17.41202543
Cluster_0487	419.3170977	17.589671
Cluster_0488	419.3164788	17.80571754
Cluster_0489	419.3161775	17.99780612
Cluster_0490	419.3358801	18.16069975
Cluster_0491	419.3169517	18.29965218
Cluster_0492	419.3157671	18.49677094
Cluster_0493	419.3156951	18.78739564
Cluster_0494	419.3173378	18.89452377
Cluster_0495	419.3172547	18.97875199
Cluster_0496	419.315844	19.05168287
Cluster_0497	419.3162962	19.27232957
Cluster_0498	419.3182832	19.39533972
Cluster_0499	419.3162147	19.49913831
Cluster_0500	419.3161743	19.58379954
Cluster_0501	419.3159013	19.73870618
Cluster_0502	419.3165598	19.87500301
Cluster_0503	419.3171263	20.02275709
Cluster_0504	419.315657	20.19047432
Cluster_0505	419.315662	20.28448666
Cluster_0506	419.3159633	20.48144826
Cluster_0507	419.3165315	20.85517642
Cluster_0508	419.3158741	21.12358447
Cluster_0509	419.3138783	21.27532454
Cluster_0510	419.3157372	21.41094991
Cluster_0511	419.3149548	21.5049023
Cluster_0512	419.315306	21.67448821
Cluster_0513	419.3153468	21.91640424
Cluster_0514	419.3144569	22.14759536
Cluster_0515	419.314705	22.2625425
Cluster_0516	419.3149535	22.4346035
Cluster_0517	419.3130761	22.59356708
Cluster_0518	419.3134403	22.75755877
Cluster_0519	419.3143038	22.92191418
Cluster_0520	419.3141231	23.07424315
Cluster_0521	419.3143106	23.26868587
Cluster_0522	419.31293	23.44208621
Cluster_0523	419.3139643	23.56346472
Cluster_0524	419.3146013	24.67078874
Cluster_0525	419.3142977	24.88437145
Cluster_0526	419.3174415	9.486783735
Cluster_0527	421.3184387	1.692491036
Cluster_0528	423.4317428	6.995758065
Cluster_0529	425.4454565	13.77698742
Cluster_0530	430.245067	1.298659889
Cluster_0531	430.3894243	10.8659948
Cluster_0532	430.427002	13.61987627
Cluster_0533	432.2381467	1.80259978
Cluster_0534	432.2398285	13.41663861
Cluster_0535	433.3313487	12.75078014
Cluster_0536	433.333605	13.02938779
Cluster_0537	433.3314757	13.13014087
Cluster_0538	436.3431532	9.50219153
Cluster_0539	436.34339	10.12991971
Cluster_0540	436.3436992	10.22263058
Cluster_0541	436.3427635	10.3317883
Cluster_0542	436.3416364	10.59600815
Cluster_0543	436.3432469	10.93970753
Cluster_0544	441.2867554	10.19037869
Cluster_0545	441.2984362	11.88790579
Cluster_0546	441.2983283	12.03108318
Cluster_0547	441.298987	12.17638202
Cluster_0548	441.2988329	12.36143777
Cluster_0549	441.2991225	12.56527997
Cluster_0550	441.2990165	12.85215263
Cluster_0551	442.4616435	12.90335983
Cluster_0552	444.1644427	6.104811523
Cluster_0553	444.4056562	10.86681083
Cluster_0554	446.1649907	10.81192007
Cluster_0555	446.1652874	7.433431705
Cluster_0556	446.1648938	9.414571364
Cluster_0557	447.2510346	8.749364619
Cluster_0558	447.3483088	13.54318707
Cluster_0559	447.3481425	13.76562031
Cluster_0560	447.3476647	13.90580108
Cluster_0561	447.3478904	14.06386101
Cluster_0562	447.3481187	14.40238001
Cluster_0563	447.3477389	14.55834049
Cluster_0564	447.347659	14.80988032
Cluster_0565	447.3485562	15.01918057
Cluster_0566	447.347889	11.7581494
Cluster_0567	448.3999447	9.922746854
Cluster_0568	449.3499131	1.694036421
Cluster_0569	450.3018311	7.468355937
Cluster_0570	450.357709	10.59294704
Cluster_0571	452.3228471	2.377540396
Cluster_0572	454.2423661	9.05361129
Cluster_0573	458.3483409	4.235256476
Cluster_0574	458.4570251	13.62019414
Cluster_0575	460.2695955	1.804508126
Cluster_0576	460.2706139	2.157921379
Cluster_0577	463.3525867	19.25099853
Cluster_0578	464.3747647	10.59412059
Cluster_0579	464.3742493	10.94599498
Cluster_0580	464.3723568	11.37665359
Cluster_0581	464.3730307	11.72974146
Cluster_0582	464.3734694	11.88173577
Cluster_0583	464.3729292	12.03519624
Cluster_0584	464.3737355	12.1924824
Cluster_0585	464.3728022	12.36515289
Cluster_0586	464.3727766	12.53642323
Cluster_0587	464.3729092	12.69837562
Cluster_0588	464.3734016	12.89802782
Cluster_0589	464.3742799	13.15788884
Cluster_0590	464.3740264	13.36183684
Cluster_0591	464.3740244	13.43970002
Cluster_0592	464.3729986	13.59211669
Cluster_0593	464.3731712	13.69918696
Cluster_0594	464.3736076	13.87091801
Cluster_0595	464.3737531	13.95834928
Cluster_0596	464.3756929	14.048001
Cluster_0597	464.3741463	14.19215785
Cluster_0598	464.3740797	14.42516281
Cluster_0599	464.3737794	9.502583229
Cluster_0600	464.3748168	14.56292737
Cluster_0601	464.3731796	14.62842786
Cluster_0602	464.3733142	14.97783222
Cluster_0603	464.3744176	15.23922031
Cluster_0604	464.3746815	15.4290046
Cluster_0605	464.3774034	15.63964783
Cluster_0606	464.3741307	15.74723966
Cluster_0607	464.3734722	15.93038128
Cluster_0608	466.2967906	8.18449129
Cluster_0609	467.1098985	12.61229907
Cluster_0610	467.2372661	9.049009025
Cluster_0611	468.4411519	9.165134038
Cluster_0612	469.1143424	9.80183735
Cluster_0613	469.3348077	13.77377943
Cluster_0614	470.4205141	13.69276549
Cluster_0615	470.4200289	13.84779622
Cluster_0616	470.3970491	13.97092988
Cluster_0617	470.4209166	14.1151347
Cluster_0618	470.4210437	14.25185734
Cluster_0619	470.4210393	14.25265197
Cluster_0620	470.4938652	12.90266294
Cluster_0621	471.1058863	10.79712955
Cluster_0622	472.1128484	11.54566098
Cluster_0623	472.3650239	17.3822907
Cluster_0624	474.2850687	1.802456635
Cluster_0625	475.4158878	18.17664843
Cluster_0626	476.1082718	11.56937111
Cluster_0627	478.3885184	12.0322086
Cluster_0628	478.388909	12.18312727
Cluster_0629	478.3884361	12.34977186
Cluster_0630	478.388959	12.49186391
Cluster_0631	478.3875263	12.56735598
Cluster_0632	478.3892999	12.69349298
Cluster_0633	478.389779	12.83178031
Cluster_0634	478.3894625	12.9410286
Cluster_0635	478.3888776	13.06140789
Cluster_0636	478.3898546	13.17006025
Cluster_0637	478.3898308	13.30461285
Cluster_0638	480.3095231	4.854725843
Cluster_0639	480.3096747	5.25422891
Cluster_0640	482.2737803	9.053198909
Cluster_0641	484.2749862	12.34730636
Cluster_0642	485.2727998	9.055846747
Cluster_0643	485.3596693	1.129517388
Cluster_0644	486.3425823	10.19051975
Cluster_0645	486.3439399	8.02353505
Cluster_0646	488.3021214	1.803313125
Cluster_0647	491.2224822	7.433285845
Cluster_0648	492.4056355	11.75483862
Cluster_0649	492.4056066	11.88450902
Cluster_0650	492.4066089	12.03215036
Cluster_0651	492.4060547	12.17868099
Cluster_0652	492.4059821	12.36153989
Cluster_0653	492.4056521	12.53373156
Cluster_0654	492.4052029	12.69953762
Cluster_0655	492.405411	12.83644616
Cluster_0656	492.40514	13.00185525
Cluster_0657	492.405091	13.45589888
Cluster_0658	492.4044568	13.75510028
Cluster_0659	492.4040269	13.90180987
Cluster_0660	492.4043365	14.05270113
Cluster_0661	492.4049537	14.20001807
Cluster_0662	492.404261	14.58476847
Cluster_0663	492.4055826	14.79982726
Cluster_0664	492.4064527	14.96238876
Cluster_0665	492.4059961	15.4534595
Cluster_0666	492.4045101	15.52459479
Cluster_0667	492.405787	15.64391113
Cluster_0668	500.2785969	2.563100181
Cluster_0669	500.4684363	16.51616967
Cluster_0670	502.3390007	4.701718143
Cluster_0671	502.3750563	4.136767738
Cluster_0672	505.4116906	1.694259238
Cluster_0673	506.3647543	2.524782604
Cluster_0674	507.1014637	2.530236889
Cluster_0675	511.2441266	17.8863599
Cluster_0676	512.1777555	9.798229976
Cluster_0677	514.1733226	9.798603187
Cluster_0678	514.3759883	10.19365216
Cluster_0679	514.5184872	16.36733963
Cluster_0680	517.1720643	11.56323988
Cluster_0681	517.4741735	10.40432467
Cluster_0682	519.4895921	11.40528346
Cluster_0683	520.3406351	3.373996262
Cluster_0684	520.437363	13.76994287
Cluster_0685	520.4367504	13.90935807
Cluster_0686	520.4372013	14.04181747
Cluster_0687	522.3567025	4.550832195
Cluster_0688	522.3565658	5.007326691
Cluster_0689	522.9386856	1.34519655
Cluster_0690	525.5244594	18.15507576
Cluster_0691	525.5251197	18.28064809
Cluster_0692	526.5551125	21.67681205
Cluster_0693	528.4995939	16.83519179
Cluster_0694	529.3318027	12.34736207
Cluster_0695	530.4791794	17.21775384
Cluster_0696	531.4087336	14.20647775
Cluster_0697	531.4094921	14.49288556
Cluster_0698	531.477821	18.17927397
Cluster_0699	531.4895311	11.2754501
Cluster_0700	536.166607	15.86553326
Cluster_0701	542.3255023	2.435566003
