headgroup	name	exactmass	formula	chain_type
M(IP)2C	M(IP)2C 48:2;O5	1425.79143	C66H125NO27P2	even
M(IP)2C	M(IP)2C 48:2;O6	1441.786345	C66H125NO28P2	even
M(IP)2C	M(IP)2C 48:3;O2	1375.791035	C66H123NO24P2	even
M(IP)2C	M(IP)2C 48:3;O3	1391.78595	C66H123NO25P2	even
M(IP)2C	M(IP)2C 48:3;O4	1407.780865	C66H123NO26P2	even
M(IP)2C	M(IP)2C 48:3;O5	1423.77578	C66H123NO27P2	even
M(IP)2C	M(IP)2C 48:3;O6	1439.770695	C66H123NO28P2	even
M(IP)2C	M(IP)2C 48:4;O2	1373.775385	C66H121NO24P2	even
M(IP)2C	M(IP)2C 48:4;O3	1389.7703	C66H121NO25P2	even
M(IP)2C	M(IP)2C 48:4;O4	1405.765215	C66H121NO26P2	even
M(IP)2C	M(IP)2C 48:4;O5	1421.76013	C66H121NO27P2	even
M(IP)2C	M(IP)2C 48:4;O6	1437.755045	C66H121NO28P2	even
M(IP)2C	M(IP)2C 48:5;O2	1371.759735	C66H119NO24P2	even
M(IP)2C	M(IP)2C 48:5;O3	1387.75465	C66H119NO25P2	even
M(IP)2C	M(IP)2C 48:5;O4	1403.749565	C66H119NO26P2	even
M(IP)2C	M(IP)2C 48:5;O5	1419.74448	C66H119NO27P2	even
M(IP)2C	M(IP)2C 48:5;O6	1435.739395	C66H119NO28P2	even
M(IP)2C	M(IP)2C 48:6;O2	1369.744085	C66H117NO24P2	even
M(IP)2C	M(IP)2C 48:6;O3	1385.739	C66H117NO25P2	even
M(IP)2C	M(IP)2C 48:6;O4	1401.733915	C66H117NO26P2	even
M(IP)2C	M(IP)2C 48:6;O5	1417.72883	C66H117NO27P2	even
M(IP)2C	M(IP)2C 48:6;O6	1433.723745	C66H117NO28P2	even
M(IP)2C	M(IP)2C 49:0;O2	1395.853635	C67H131NO24P2	odd
M(IP)2C	M(IP)2C 49:0;O3	1411.84855	C67H131NO25P2	odd
M(IP)2C	M(IP)2C 49:0;O4	1427.843465	C67H131NO26P2	odd
M(IP)2C	M(IP)2C 49:0;O5	1443.83838	C67H131NO27P2	odd
M(IP)2C	M(IP)2C 49:0;O6	1459.833295	C67H131NO28P2	odd
